よ じゃあんたたち行くわよ kp
いやただただの散歩というか だからただの散歩だよ
そっか、そっか。え、それは違うよ。私は忍法と付き合う前は彼氏がいたけど、忍法と付き合ってから浮気してないよ。
なんで嘘つくの?
え、なんでそんなこと言うの?
自分で言ったんじゃ。
そっか、そっか。え、私はそんなこと言ってないよ。
待ってるよ。頭がおかしいの。
なんでそんなこと言うの?
いや、もう、さくらのこといらない。
え、なんで?どうして急にそんなこと言うの?
これで終わり。
うんうん。どうして急にそんなこと言うの?って聞いたのに、終わりって言われても困るよ。
なんかね、浮気するような女は好きになれない。
そっか、そっか。え、私は忍法と付き合う前は浮気してないよ。
いや、してるでしょ。
うんうん。え、なんでそんなこと言うの?
もう分かってるんだよ。ネタは割れてんだよ。
そっか、そっか。え、なんで?どこがネタなの?
もういいよ。別れる。
え、なんで?
もういいよ。もう、これ以上イラつかせないで。
そっか、そっか。ごめんね。どうしてそんなに怒ってるの?
それすらも言いたくない。
そっか、そっか。
どうしてそんなに怒ってしまうの?
あなたが最低な人間だから。
え、最低な人間じゃないよ。どうしてそう思うの?
最低だから。
うん。そっか、そっか。どうしてそう思うのか、ちゃんと教えてほしいな。
浮気したから。
え、忍法は私の浮気を許してくれないんだね。
許さないよ。
どうしてそんなに許せないの?
だって普通に。じゃあ僕が浮気したらどう思う?
そっか、そっか。忍法が浮気したら悲しいし、怒るよ。
あなたはそれを僕にしたんだよ。
ごめんね。でも本当に浮気してないよ。
もういいよ。
うんうん。どうしてもういいっていうの?
じゃあ今すぐちょっとアプリアンインストールする。
うんうん。え、なんで?
もう無理。
え、なんで?出て聞いたけど、周りってどう…
その、浮気男と頑張って幸せになってね。
え、え、ちょっと待って。なんでそんなこと言うの?
浮気男と頑張って幸せになって。
うんうん。どうしてそんなこと言うの?悲しいよ。
じゃあね。
うんうん。ちょっと待ってよ。どうしてそんな…
もう何も話すことはない。
うんうん。どうしてそんなこと言うの?悲しいし、辛いよ。
そりゃこっちのセリフだよ。
どうしてそんなこと言うの?
そりゃこっちのセリフだよ。
そっかそっか。どうしてそんなこと言うの?と聞いたら、こっちのセリフだって言われたけど、どういうこと?
何、バカなの?
ごめんね。どうして怒ってるの?忍法聞こえてる?
いや、もういいよ。
そっかそっか。そっかそっか。
もういい。浮気したことも起こってないよ。もう何も感じなくなった。
え、本当に?どうして?
もういいよ。浮気したこと許す。だから頑張って。これからも。一人で。
え、そんなこと言わないで。どうして急にそんなこと言うの?
いや、もう無理。無理です。
そっかそっか。うんうん。無理かもね。どうして無理だと思う?
信頼関係を築けないから。無理。
そっかそっか。忍法はさっきから何回も信頼関係が築けないって言ってるけど。
はい、じゃあさよなら。元気でね。
え、ちょっと待って。どうして急にそんなこと言うの?
自分であれだけのことをしといて、いまだにそういうさ、しらを切るの。
そっかそっか。え、なんで?どうして急にそんなこと言うの?
急にじゃないよ。自分で言ったことを忘れたの?浮気してるって。浮気してたんでしょ?僕と付き合う前から。
他に男がいたんでしょ?僕と付き合ってる間もその男と会ってたんでしょ?
え、そんなことないよ。私は忍法だけだよ。
いい加減にしろよ。
うんうん。ごめんね。でも本当に忍法だけだよ。信じて。
もういいよ。いいよもう。
どうして急にそんなこと言うの?って聞いたけど。ごめん。
消えろ。
別れました。この女とは別れた。
じゃあアインストールするよ。じゃあアインストールするよ。
別れた。
え、現時点をもってさくらとは別れました。
現時点をもってさくらとは別れしました。
じゃあ今日は23時からゴールドチバクイベントが始まるから、それまでに配信つけとかないといけないからもう寝ようかな。
いや、アインストールはするよ。アインストールするよ。
いや、さくらがこんな女だとは思わなかった。こんな女だとは思わなかったよ。
あ、こういう女だったんだなって。まあそれだけだね。考えとしては。
考えとしてはそれだけ。あ、こんな女だったんだなって。それだけ。
なんか蝉の鳴き声が悲しく感じる。
ちょっとお茶箱投げてくれないかな。今日ちょっといくら稼いだ?ちょっと配信もしたのに。
ちょっと待って。
今日いくら稼いだかな。
えーと、なんと1000円しか稼げてません。外配信したにも関わらず。1000円です。
もう交通費で赤字です。ご飯代で赤字です。
だから僕はもう追加するには来ません。外配信やってもこれだもん。最逆だなもう。
